county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
34023,"Middlesex County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34025,"Monmouth County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34027,"Morris County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34029,"Ocean County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34031,"Passaic County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34033,"Salem County, New Jersey",C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,MSA,Philadelphia,PA,"Philadelphia, PA"
34035,"Somerset County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34037,"Sussex County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34039,"Union County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34041,"Warren County, New Jersey",C1090,"Allentown-Bethlehem-Easton, PA-NJ MSA",CS106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ CSA",Allentown-Bethlehem-Easton,PA-NJ,MSA,Allentown,PA,"Allentown, PA"
35001,"Bernalillo County, New Mexico",C1074,"Albuquerque, NM MSA",CS105,"Albuquerque-Santa Fe-Los Alamos, NM CSA",Albuquerque,NM,MSA,Albuquerque,NM,"Albuquerque, NM"
35013,"Dona Ana County, New Mexico",C2974,"Las Cruces, NM MSA",CS238,"El Paso-Las Cruces, TX-NM CSA",Las Cruces,NM,MSA,Las Cruces,NM,"Las Cruces, NM"
35043,"Sandoval County, New Mexico",C1074,"Albuquerque, NM MSA",CS105,"Albuquerque-Santa Fe-Los Alamos, NM CSA",Albuquerque,NM,MSA,Albuquerque,NM,"Albuquerque, NM"
35045,"San Juan County, New Mexico",C2214,"Farmington, NM MSA",,,Farmington,NM,MSA,Farmington,NM,"Farmington, NM"
35049,"Santa Fe County, New Mexico",C4214,"Santa Fe, NM MSA",CS105,"Albuquerque-Santa Fe-Los Alamos, NM CSA",Santa Fe,NM,MSA,Santa Fe,NM,"Santa Fe, NM"
35057,"Torrance County, New Mexico",C1074,"Albuquerque, NM MSA",CS105,"Albuquerque-Santa Fe-Los Alamos, NM CSA",Albuquerque,NM,MSA,Albuquerque,NM,"Albuquerque, NM"
35061,"Valencia County, New Mexico",C1074,"Albuquerque, NM MSA",CS105,"Albuquerque-Santa Fe-Los Alamos, NM CSA",Albuquerque,NM,MSA,Albuquerque,NM,"Albuquerque, NM"
36001,"Albany County, New York",C1058,"Albany-Schenectady-Troy, NY MSA",CS104,"Albany-Schenectady, NY CSA",Albany-Schenectady-Troy,NY,MSA,Albany,NY,"Albany, NY"
36005,"Bronx County, New York",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
36007,"Broome County, New York",C1378,"Binghamton, NY MSA",,,Binghamton,NY,MSA,Binghamton,NY,"Binghamton, NY"
