county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
22067,"morehouse parish, louisiana",C3374,"Monroe, LA MSA",CS384,"Monroe-Ruston, LA CSA",Monroe,LA,MSA,Monroe,LA,"Monroe, LA"
22071,"orleans parish, louisiana",C3538,"New Orleans-Metairie, LA MSA",CS406,"New Orleans-Metairie-Slidell, LA-MS CSA",New Orleans-Metairie,LA,MSA,New Orleans,LA,"New Orleans, LA"
22073,"ouachita parish, louisiana",C3374,"Monroe, LA MSA",CS384,"Monroe-Ruston, LA CSA",Monroe,LA,MSA,Monroe,LA,"Monroe, LA"
22075,"plaquemines parish, louisiana",C3538,"New Orleans-Metairie, LA MSA",CS406,"New Orleans-Metairie-Slidell, LA-MS CSA",New Orleans-Metairie,LA,MSA,New Orleans,LA,"New Orleans, LA"
22077,"pointe coupee parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
22079,"rapides parish, louisiana",C1078,"Alexandria, LA MSA",,,Alexandria,LA,MSA,Alexandria,LA,"Alexandria, LA"
22083,"richland parish, louisiana",C3374,"Monroe, LA MSA",CS384,"Monroe-Ruston, LA CSA",Monroe,LA,MSA,Monroe,LA,"Monroe, LA"
22087,"st. bernard parish, louisiana",C3538,"New Orleans-Metairie, LA MSA",CS406,"New Orleans-Metairie-Slidell, LA-MS CSA",New Orleans-Metairie,LA,MSA,New Orleans,LA,"New Orleans, LA"
22089,"st. charles parish, louisiana",C3538,"New Orleans-Metairie, LA MSA",CS406,"New Orleans-Metairie-Slidell, LA-MS CSA",New Orleans-Metairie,LA,MSA,New Orleans,LA,"New Orleans, LA"
22091,"st. helena parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
22093,"st. james parish, louisiana",C3538,"New Orleans-Metairie, LA MSA",CS406,"New Orleans-Metairie-Slidell, LA-MS CSA",New Orleans-Metairie,LA,MSA,New Orleans,LA,"New Orleans, LA"
22095,"st. john the baptist parish, louisiana",C3538,"New Orleans-Metairie, LA MSA",CS406,"New Orleans-Metairie-Slidell, LA-MS CSA",New Orleans-Metairie,LA,MSA,New Orleans,LA,"New Orleans, LA"
22099,"st. martin parish, louisiana",C2918,"Lafayette, LA MSA",CS318,"Lafayette-New Iberia-Opelousas, LA CSA",Lafayette,LA,MSA,Lafayette,LA,"Lafayette, LA"
22103,"st. tammany parish, louisiana",C4364,"Slidell-Mandeville-Covington, LA MSA",CS406,"New Orleans-Metairie-Slidell, LA-MS CSA",Slidell-Mandeville-Covington,LA,MSA,Slidell,LA,"Slidell, LA"
22105,"tangipahoa parish, louisiana",C2522,"Hammond, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Hammond,LA,MSA,Hammond,LA,"Hammond, LA"
22109,"terrebonne parish, louisiana",C2638,"Houma-Bayou Cane-Thibodaux, LA MSA",,,Houma-Bayou Cane-Thibodaux,LA,MSA,Houma,LA,"Houma, LA"
22111,"union parish, louisiana",C3374,"Monroe, LA MSA",CS384,"Monroe-Ruston, LA CSA",Monroe,LA,MSA,Monroe,LA,"Monroe, LA"
22113,"vermilion parish, louisiana",C2918,"Lafayette, LA MSA",CS318,"Lafayette-New Iberia-Opelousas, LA CSA",Lafayette,LA,MSA,Lafayette,LA,"Lafayette, LA"
