fips,msa,category,cumulative biden rpp percent change,year,rpp
16940,cheyenne,all items,2.5458270668497556,2008,95.572
16940,cheyenne,goods,-0.4734945959855974,2008,95.98
16940,cheyenne,housing,27.34308406283401,2008,90.372
16940,cheyenne,utilities,-9.200048555474623,2008,73.957
16940,cheyenne,other services,-2.746660028213422,2008,98.778
16980,chicago-naperville-elgin,all items,1.339773446035302,2008,105.269
16980,chicago-naperville-elgin,goods,3.3858908302018453,2008,104.429
16980,chicago-naperville-elgin,housing,-4.852494465324616,2008,123.694
16980,chicago-naperville-elgin,utilities,7.083516590920199,2008,95.6
16980,chicago-naperville-elgin,other services,1.7103397369903417,2008,101.73
17020,chico,all items,2.500884746962366,2008,99.39
17020,chico,goods,4.3525352247675615,2008,95.128
17020,chico,housing,-5.7759536356230194,2008,111.407
17020,chico,utilities,6.311517809656325,2008,102.003
17020,chico,other services,3.511164647440047,2008,97.632
17140,cincinnati,all items,-0.40486261306853416,2008,97.04
17140,cincinnati,goods,-1.4546540397577044,2008,96.685
17140,cincinnati,housing,0.489713613558347,2008,87.405
17140,cincinnati,utilities,-2.7000815534836593,2008,87.519
17140,cincinnati,other services,0.08403189112747007,2008,101.344
17300,clarksville,all items,2.53318471982977,2008,90.473
17300,clarksville,goods,0.0074209142566266555,2008,97.01
17300,clarksville,housing,6.855013432706487,2008,65.835
17300,clarksville,utilities,6.4786636910799915,2008,78.56
17300,clarksville,other services,1.2637253154069747,2008,97.943
17420,cleveland,all items,2.827840516247976,2008,87.877
17420,cleveland,goods,0.1102898289447164,2008,94.365
17420,cleveland,housing,8.528827369721656,2008,63.105
17420,cleveland,utilities,4.838601255697025,2008,75.237
17420,cleveland,other services,1.461327389901072,2008,95.037
17460,cleveland-elyria,all items,-0.43325702304285624,2008,92.837
17460,cleveland-elyria,goods,-1.7951369271605042,2008,90.32
17460,cleveland-elyria,housing,1.0640377238632694,2008,86.725
17460,cleveland-elyria,utilities,-2.2244137628753027,2008,112.728
17460,cleveland-elyria,other services,0.041010078226716054,2008,95.422
17660,coeur d'alene,all items,0.7212494491201964,2008,98.187
17660,coeur d'alene,goods,0.46217030975914386,2008,102.517
17660,coeur d'alene,housing,14.059729831745326,2008,89.737
17660,coeur d'alene,utilities,-11.240464081373183,2008,63.91
17660,coeur d'alene,other services,-4.023210831721469,2008,102.299
17780,college station-bryan,all items,-2.6773424119198497,2008,95.073
17780,college station-bryan,goods,-2.830737279335409,2008,96.436
17780,college station-bryan,housing,-5.14346818748887,2008,84.407
17780,college station-bryan,utilities,2.115579509858121,2008,100.356
17780,college station-bryan,other services,-2.223362924492223,2008,97.695
17820,colorado springs,all items,-1.7452006980802781,2008,97.984
17820,colorado springs,goods,0.22594987453013748,2008,96.349
17820,colorado springs,housing,-0.2188366576459193,2008,103.447
17820,colorado springs,utilities,0.6141309512496388,2008,79.965
17820,colorado springs,other services,-3.1140077533300166,2008,98.634
17860,columbia,all items,-3.501288447831567,2008,93.573
17860,columbia,goods,-2.156809549647307,2008,95.271
17860,columbia,housing,-4.472674341669977,2008,78.69
17860,columbia,utilities,-2.049088761929082,2008,83.458
17860,columbia,other services,-4.910617243056921,2008,98.751
17900,columbia,all items,4.200745562788634,2008,93.519
17900,columbia,goods,-0.8559724244868956,2008,97.064
17900,columbia,housing,13.17798312575333,2008,76.248
17900,columbia,utilities,-2.1150011791694348,2008,86.735
17900,columbia,other services,4.579766905656796,2008,98.005
17980,columbus,all items,3.7075227954721743,2008,88.418
17980,columbus,goods,-0.07451017431182819,2008,97.069
17980,columbus,housing,5.526498094908201,2008,60.293
17980,columbus,utilities,1.3121741199887584,2008,90.696
17980,columbus,other services,4.583906934709271,2008,98.045
18020,columbus,all items,-1.3248728187735883,2008,83.992
18020,columbus,goods,-1.0353156489077568,2008,77.239
18020,columbus,housing,-6.039869927894819,2008,77.393
18020,columbus,utilities,-1.8800630674713197,2008,78.313
18020,columbus,other services,-0.19278294486202932,2008,93.648
18140,columbus,all items,-0.40995762711864453,2008,96.601
18140,columbus,goods,-1.7951369271605042,2008,97.17
18140,columbus,housing,1.6362265901316186,2008,86.391
18140,columbus,utilities,-2.07429798046174,2008,99.654
18140,columbus,other services,0.041010078226716054,2008,99.286
18580,corpus christi,all items,-1.4860655047570999,2008,96.175
18580,corpus christi,goods,-2.830737279335409,2008,97.109
18580,corpus christi,housing,1.8709548117845438,2008,87.026
18580,corpus christi,utilities,1.370459250894041,2008,100.749
18580,corpus christi,other services,-2.223362924492223,2008,98.365
18700,corvallis,all items,3.4812812832346234,2008,99.418
18700,corvallis,goods,4.47493747544534,2008,102.253
18700,corvallis,housing,0.8339572217852328,2008,91.896
18700,corvallis,utilities,-4.270357826535123,2008,72.68
18700,corvallis,other services,4.1644250503118405,2008,102.465
18880,crestview-fort walton beach-destin,all items,3.208809737077825,2008,95.766
18880,crestview-fort walton beach-destin,goods,0.01994729714122817,2008,96.853
18880,crestview-fort walton beach-destin,housing,6.641280495675753,2008,88.432
18880,crestview-fort walton beach-destin,utilities,6.027797593022993,2008,95.993
18880,crestview-fort walton beach-destin,other services,4.1242166074016895,2008,98.166
19060,cumberland,all items,-1.4645656785669683,2008,90.769
19060,cumberland,goods,0.1658270361041155,2008,97.897
19060,cumberland,housing,-17.099370517678746,2008,64.915
19060,cumberland,utilities,0.56976353730001,2008,92.233
19060,cumberland,other services,4.862048400765881,2008,99.026
19100,dallas-fort worth-arlington,all items,-1.0372055674518277,2008,101.174
19100,dallas-fort worth-arlington,goods,-0.3325563931772381,2008,99.529
